market_group,market_share_2019,recovery_index,arrivals_post_avg
Africa,0.47586287745911,84.4,6399.409090909091
Americas,5.036150062897537,96.8,77657.95454545454
Europe,11.157186507164072,95.1,169095.54545454544
Greater China,23.91580544706738,86.6,329974.45454545453
North Asia,8.005608492273833,78.8,100525.63636363635
Oceania,6.907853317305582,106.4,117108.22727272728
South Asia,8.964699800601705,86.4,123434.18181818182
Southeast Asia,34.653270496653306,83.0,458450.7272727273
West Asia,0.8835629985774751,116.3,16369.454545454546
